"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US24001","Allegany County, Maryland","26549","1492","8.8","2.9","5.8","1.9","11.2","2.9","11.9","2.8","13.2","2.1","19.7","3.6","14.1","3.0","10.0","2.5","3.7","1.8","1.7","0.9","48867","5616","59856","3995","34.6","(X)","(X)","(X)","(X)","(X)","14890","1446","3.2","2.3","2.5","1.5","6.1","2.4","9.8","3.6","13.7","3.3","25.4","5.8","16.5","4.3","13.6","3.2","6.3","2.9","2.8","1.5","63327","4016","75563","5338","(X)","(X)","34.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","73268","10155","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11659","1638","17.9","5.7","9.9","3.8","17.8","5.5","14.4","4.7","12.8","4.0","13.9","4.9","7.8","4.2","5.0","2.8","0.3","0.5","0.2","0.4","27527","4832","37682","4598","(X)","(X)","(X)","(X)","34.0","(X)"
"0500000US24003","Anne Arundel County, Maryland","216200","2680","2.1","0.6","1.3","0.5","4.0","0.6","4.8","0.8","6.6","1.0","15.9","1.4","14.3","1.5","21.2","1.4","13.4","1.3","16.5","1.3","101147","2184","130006","4287","30.4","(X)","(X)","(X)","(X)","(X)","152593","3949","1.5","0.8","0.7","0.5","1.9","0.8","2.9","0.7","5.6","1.1","13.6","1.9","14.6","1.7","23.0","2.0","15.8","1.6","20.5","1.7","116535","3877","147966","5859","(X)","(X)","30.4","(X)","(X)","(X)","119702","4212","0.3","0.2","0.6","0.4","1.1","0.5","1.4","0.5","4.3","1.0","13.0","2.0","13.6","1.6","22.9","2.0","17.9","1.8","24.8","2.0","132588","5936","N","N","(X)","(X)","(X)","(X)","(X)","(X)","63607","3439","4.6","1.3","2.9","1.4","10.4","2.0","9.1","1.7","10.2","2.5","23.0","3.1","14.7","2.7","15.0","2.2","6.5","2.0","3.6","1.2","61743","3965","77099","5392","(X)","(X)","(X)","(X)","28.3","(X)"
"0500000US24005","Baltimore County, Maryland","312466","3553","5.3","0.8","2.3","0.5","6.1","0.7","6.4","0.8","10.5","1.0","18.2","1.3","13.6","1.1","18.5","1.0","8.7","0.8","10.3","0.8","77358","3160","104484","3276","36.0","(X)","(X)","(X)","(X)","(X)","198368","5307","2.6","0.7","1.3","0.5","3.6","0.7","4.3","0.9","8.7","1.4","16.9","1.5","14.3","1.4","22.2","1.4","11.9","1.1","14.2","1.1","96502","2549","124836","3755","(X)","(X)","38.2","(X)","(X)","(X)","138137","4453","1.3","0.6","0.6","0.3","2.6","0.6","2.4","0.6","6.1","1.2","13.2","1.6","12.7","1.5","26.4","1.8","15.4","1.5","19.2","1.5","116775","3296","147659","5009","(X)","(X)","(X)","(X)","(X)","(X)","114098","4758","10.4","1.8","4.6","1.0","11.2","1.7","9.9","1.5","14.2","1.7","20.8","2.3","12.3","1.8","11.2","1.7","2.9","0.7","2.5","0.8","49712","2609","64684","4677","(X)","(X)","(X)","(X)","30.7","(X)"
"0500000US24009","Calvert County, Maryland","32780","1120","4.6","2.2","1.8","1.3","2.6","1.3","3.7","1.7","7.2","2.1","9.7","3.2","12.6","2.8","26.0","4.1","15.5","2.8","16.3","3.3","112380","6174","126581","7846","34.8","(X)","(X)","(X)","(X)","(X)","24694","1601","2.5","2.1","1.4","1.5","1.3","1.0","2.9","1.8","4.1","1.9","8.9","3.7","13.7","3.7","27.6","4.4","18.9","3.3","18.8","4.3","124633","13376","138592","9274","(X)","(X)","33.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","139730","9099","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8086","1458","12.3","7.4","3.0","3.0","6.6","3.9","6.3","4.4","17.2","6.4","16.1","6.7","13.1","5.3","12.8","6.6","6.0","4.0","6.6","5.9","56013","9433","81706","19527","(X)","(X)","(X)","(X)","34.8","(X)"
"0500000US24013","Carroll County, Maryland","60617","1215","1.9","0.9","1.7","0.7","5.1","1.3","5.9","1.3","7.8","1.9","13.3","1.9","12.4","2.2","26.6","2.3","11.8","1.8","13.5","1.9","103014","5381","119439","5004","30.4","(X)","(X)","(X)","(X)","(X)","44933","1848","1.1","0.9","0.8","0.6","2.9","1.0","2.8","1.2","4.8","1.6","11.4","2.3","13.6","2.4","30.9","2.7","14.4","2.3","17.4","2.6","123231","6659","138006","6963","(X)","(X)","26.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","128630","4726","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15684","1802","5.3","3.0","4.7","2.4","10.8","4.0","14.2","3.9","16.6","4.8","20.1","4.9","8.7","3.4","15.5","4.5","1.8","1.4","2.3","1.8","47321","8524","62435","6374","(X)","(X)","(X)","(X)","42.2","(X)"
"0500000US24015","Cecil County, Maryland","38547","1614","5.9","2.5","3.3","2.1","8.6","2.5","8.6","2.6","7.5","2.2","15.1","3.6","16.9","3.3","17.5","3.3","10.1","2.9","6.5","1.8","76441","6318","92059","6065","35.5","(X)","(X)","(X)","(X)","(X)","26171","1937","3.5","2.4","1.4","0.9","6.1","2.9","4.5","2.3","9.7","3.4","13.4","4.4","17.7","4.2","23.1","4.3","12.5","3.9","8.1","2.5","91368","6294","106436","8349","(X)","(X)","37.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","104404","7798","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12376","1779","11.0","5.8","7.9","5.9","14.8","5.2","16.3","5.9","6.3","3.6","18.1","5.7","12.5","5.4","6.4","3.8","4.2","3.2","2.3","1.4","34980","11674","57696","10214","(X)","(X)","(X)","(X)","28.9","(X)"
"0500000US24017","Charles County, Maryland","57732","1218","3.0","1.2","1.3","0.9","2.4","1.2","3.8","1.4","8.0","2.1","14.2","3.2","13.6","2.6","26.2","3.8","13.7","2.2","13.9","2.5","103932","4980","124336","8870","42.5","(X)","(X)","(X)","(X)","(X)","41845","2209","1.8","1.0","0.3","0.3","1.4","1.2","2.6","1.5","6.2","2.1","13.3","3.7","13.6","3.0","28.6","4.6","15.6","2.8","16.6","2.9","114652","9024","136309","10640","(X)","(X)","47.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","140558","7069","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15887","2091","8.5","3.8","4.1","3.3","5.0","3.1","7.8","3.6","12.0","4.4","18.4","6.0","13.4","4.8","20.6","6.6","5.0","3.4","5.0","4.1","68549","6018","84108","14467","(X)","(X)","(X)","(X)","27.9","(X)"
"0500000US24021","Frederick County, Maryland","93768","1685","1.8","0.8","2.1","0.7","3.4","0.9","4.8","1.2","8.9","1.6","13.8","1.7","13.0","1.7","25.0","1.9","13.4","1.5","13.8","1.4","103516","3391","122496","4260","32.2","(X)","(X)","(X)","(X)","(X)","66402","2275","1.0","0.6","0.8","0.5","2.0","0.8","3.5","1.1","6.3","1.7","12.4","2.1","12.3","1.8","28.8","2.1","16.0","1.9","17.0","1.9","116728","4548","137970","5479","(X)","(X)","33.8","(X)","(X)","(X)","52828","2687","0.2","0.3","0.4","0.4","0.9","0.6","3.2","1.2","4.6","1.7","10.2","2.2","10.8","1.8","31.1","2.4","18.5","2.2","20.2","2.4","129742","5713","N","N","(X)","(X)","(X)","(X)","(X)","(X)","27366","2122","5.1","2.5","5.4","2.1","6.8","2.0","8.6","3.0","15.9","3.8","19.9","3.7","13.6","3.3","14.4","3.4","5.9","2.0","4.3","1.7","60033","5117","78108","7548","(X)","(X)","(X)","(X)","27.1","(X)"
"0500000US24025","Harford County, Maryland","96203","1592","3.4","1.2","2.2","0.6","4.5","1.4","4.8","1.1","8.8","1.6","15.2","2.0","14.6","2.0","22.4","2.2","11.3","1.6","12.7","1.6","92331","5670","113104","4656","32.8","(X)","(X)","(X)","(X)","(X)","68980","2434","2.4","1.3","0.5","0.3","2.4","1.1","3.8","1.4","6.1","1.3","14.0","2.5","14.2","2.1","27.5","2.9","13.9","1.9","15.2","2.0","109733","5503","127433","5532","(X)","(X)","35.4","(X)","(X)","(X)","55614","2415","0.9","0.7","0.6","0.4","1.5","1.1","1.8","0.7","4.7","1.3","11.9","2.3","13.5","2.4","30.7","3.2","16.6","2.4","17.8","2.3","122371","4224","N","N","(X)","(X)","(X)","(X)","(X)","(X)","27223","2395","6.8","2.8","6.5","1.9","11.2","3.6","8.5","2.8","14.7","3.5","20.3","3.6","15.1","3.9","9.5","2.6","3.8","1.7","3.6","1.5","51226","2720","69810","7240","(X)","(X)","(X)","(X)","23.7","(X)"
