DATE,African_American,White,Hispanic,Asian,Other,Not_Available
2020/04/06,1521,1207,,74,321,922
2020/04/07,,,,,,
2020/04/08,2064,1540,,122,449,1354
2020/04/09,2304,1694,,136,544,1507
2020/04/10,2599,1883,,153,643,1690
2020/04/11,2988,2145,,177,806,1578
2020/04/12,3202,2305,,190,861,1667
2020/04/13,3512,2547,0,211,961,1705
2020/04/14,,,,,,
2020/04/15,3724,2425,1075,230,357,2221
2020/04/16,3978,2535,1180,239,376,2476
2020/04/17,4301,2681,1357,252,429,2552
2020/04/18,4557,2869,1489,266,458,2669
2020/04/19,4855,3037,1639,276,505,2518
2020/04/20,5064,3156,1744,284,519,2917
2020/04/21,5322,3327,1916,296,552,2780
2020/04/22,5540,3476,2033,304,571,2851
2020/04/23,5800,3662,2130,322,588,3235
2020/04/24,6046,3830,2373,339,616,3412
2020/04/25,6314,4020,2574,344,657,3857
2020/04/26,6742,4276,2841,363,707,3652
2020/04/27,7085,4498,3077,384,752,3691
2020/04/28,7432,4708,3309,424,721,3519
2020/04/29,7615,4808,3473,434,747,3772
2020/04/30,7821,4935,3651,459,793,4083
2020/05/01,8093,5147,3884,475,840,5033
2020/05/02,8470,5385,4258,502,876,4982
2020/05/03,8871,5698,4625,530,989,4749
2020/05/04,9147,5873,4892,547,1040,4909
2020/05/05,9424,6129,5144,565,937,4918
2020/05/06,9648,6280,5394,580,986,5275
2020/05/07,9892,6468,5726,603,1032,5653
2020/05/08,10165,6695,6067,631,1107,5820
2020/05/09,10337,6796,6337,647,1151,6266
2020/05/10,10623,7018,6686,664,1187,6409
2020/05/11,10927,7260,7057,691,1387,6051
2020/05/12,11110,7365,7274,700,1433,6179
2020/05/13,11140,7367,7483,689,1703,6430
2020/05/14,11328,7479,7864,703,1708,6821
2020/05/15,11572,7701,8229,723,1763,6998
2020/05/16,11795,7865,8615,738,1814,7141
2020/05/17,12052,8058,8907,752,1852,7183
2020/05/18,12220,8180,9196,770,1888,7508
2020/05/19,12454,8365,9525,787,2007,8408
2020/05/20,12919,8566,10153,823,2106,7756
2020/05/21,13086,8697,10374,836,2143,8395
2020/05/22,13320,8897,10726,855,2187,8439
2020/05/23,13527,9075,11035,873,2219,8766
2020/05/24,13762,9232,11383,889,2272,8775
2020/05/25,13922,9359,11628,895,2295,9053
2020/05/26,14116,9484,11819,907,2317,9044
2020/05/27,14217,9575,11956,917,2341,9417
2020/05/28,14473,9762,12422,938,2458,9656
2020/05/29,14613,9869,12610,948,2478,10470
2020/05/30,14911,10054,12978,977,2530,10565
2020/05/31,15188,10299,13377,997,2654,10263
2020/06/01,15527,10529,13753,1016,2699,9803
2020/06/02,15631,10603,13901,1024,2725,10291
2020/06/03,15856,10757,14155,1048,2765,10401
2020/06/04,16035,10898,14338,1057,2783,10747
2020/06/05,16208,11031,14573,1072,2825,11061
2020/06/06,16427,11206,14839,1082,2846,11082
2020/06/07,16593,11319,15040,1093,2882,11046
2020/06/08,16857,11468,15394,1106,2922,10657
2020/06/09,16966,11547,15518,1114,2946,10813
2020/06/10,17214,11718,16006,1140,3085,10302
2020/06/11,17345,11770,16293,1176,3094,10519
2020/06/12,17449,11848,16404,1182,3105,10625
2020/06/13,17595,11956,16609,1194,3126,10825
2020/06/14,17692,12022,16738,1200,3140,10909
2020/06/15,17767,12069,16834,1205,3149,11008
2020/06/16,17867,12139,16921,1214,3155,11113
2020/06/17,18017,12244,17020,1225,3172,11291
2020/06/18,18295,12414,17252,1251,3203,10814
2020/06/19,18377,12501,17282,1255,3203,10930
2020/06/20,18492,12574,17418,1263,3227,10982
2020/06/21,18582,12629,17514,1268,3242,11071
2020/06/22,18657,12693,17580,1271,3251,11151
2020/06/23,18753,12747,17670,1275,3259,11303
2020/06/24,18831,12797,17738,1278,3268,11425
2020/06/25,18918,12887,17833,1284,3277,11578
2020/06/26,18990,12952,17918,1293,3292,11670
2020/06/27,19054,13033,17991,1294,3300,11778
2020/06/28,19122,13091,18058,1300,3307,11899
2020/06/29,19191,13159,18127,1301,3317,12159
2020/06/30,19349,13288,18229,1310,3331,12052
2020/07/01,19463,13377,18283,1314,3344,12137
2020/07/02,19474,13380,18289,1314,3343,12118
2020/07/03,19783,13617,18460,1327,3379,12395
2020/07/04,19874,13709,18524,1333,3392,12509
2020/07/05,19953,13788,18568,1335,3403,12585
2020/07/06,20043,13850,18609,1337,3407,12658
2020/07/07,20157,13954,18690,1346,3427,12822
2020/07/08,20288,14062,18747,1353,3446,12965
2020/07/09,20515,14286,19172,1399,3419,12656
2020/07/10,20695,14441,19261,1409,3448,12656
2020/07/11,20910,14614,19357,1416,3469,12701
2020/07/12,21160,14797,19452,1426,3498,12776
2020/07/13,21250,14901,19491,1427,3518,12940
2020/07/14,21525,15161,19701,1446,3551,12876
2020/07/15,21784,15394,19822,1458,3583,12975
2020/07/16,22000,15599,19937,1475,3608,13045
2020/07/17,22225,15846,20063,1482,3634,13121
2020/07/18,22528,16113,20191,1490,3667,13217
2020/07/19,22887,16383,20321,1510,3707,13323
2020/07/20,23092,16548,20390,1520,3732,13403
2020/07/21,23414,16799,20485,1529,3761,13557
2020/07/22,23503,16887,20505,1532,3773,13530
2020/07/23,23905,17213,20670,1551,3805,13692
2020/07/24,24310,17486,20795,1566,3823,13786
2020/07/25,24844,17904,20933,1591,3863,13919
2020/07/26,25116,18088,21032,1597,3885,14030
2020/07/27,25440,18284,21115,1606,3917,14514
2020/07/28,25880,18540,21228,1618,3953,14305
2020/07/29,26189,18746,21311,1625,3984,14430
2020/07/30,26601,19023,21422,1634,4009,14488
2020/07/31,27055,19364,21593,1657,4041,14636
