DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
2020/04/03,0,4,3,4,1,0,5,1,1,0,2,0,0,2,0,9,9,0,0,0,0,0,1,0,
2020/04/04,0,6,4,6,1,0,6,1,1,0,2,0,0,3,0,9,13,0,0,0,0,0,1,0,
2020/04/05,0,6,6,7,1,0,8,1,2,0,3,0,0,3,0,13,16,0,0,0,0,0,1,0,
2020/04/06,0,8,11,8,1,0,10,1,2,0,4,0,0,3,0,19,23,0,0,0,0,0,1,0,
2020/04/07,0,8,11,9,1,0,16,1,2,0,4,0,0,3,0,21,26,0,0,0,0,0,1,0,
2020/04/08,0,11,13,10,2,0,18,1,2,0,4,0,0,3,0,26,32,0,0,0,1,0,1,0,
2020/04/09,0,12,16,13,1,0,18,1,3,0,4,0,0,4,0,29,35,0,0,0,1,0,1,0,
2020/04/10,0,16,21,17,1,0,19,1,4,0,9,0,0,5,0,34,42,0,0,0,1,0,1,0,
2020/04/11,0,19,26,22,1,0,25,1,5,0,11,0,1,6,0,36,50,0,0,0,1,1,1,0,
2020/04/12,0,27,30,24,1,0,25,1,9,0,12,0,0,6,0,42,55,0,0,0,1,1,1,0,
2020/04/13,0,29,31,26,1,0,28,1,10,1,12,0,0,8,0,48,63,0,0,1,1,1,1,0,
2020/04/14,0,32,41,29,1,0,29,2,12,1,14,0,0,9,0,54,72,0,0,3,1,1,1,0,0
2020/04/15,1,25,27,25,1,0,20,2,11,1,20,0,0,9,1,44,65,1,0,1,1,0,1,0,93
2020/04/16,1,29,31,31,1,0,21,2,13,1,22,0,0,10,1,56,70,1,0,1,1,1,1,0,98
2020/04/17,1,34,37,38,2,0,25,2,15,1,23,0,0,10,1,63,77,1,0,1,1,1,1,0,91
2020/04/18,1,34,38,40,2,0,26,3,16,1,23,0,0,10,1,70,85,2,0,1,1,3,1,0,105
2020/04/19,1,40,44,46,3,0,27,3,17,1,25,0,1,11,1,80,98,2,0,2,1,3,3,0,77
2020/04/20,1,42,44,49,3,0,30,3,19,1,25,0,1,12,1,89,103,2,0,2,1,3,3,0,82
2020/04/21,2,45,51,54,4,0,31,3,22,1,28,0,1,12,1,99,111,2,0,3,1,3,2,0,108
