OBJECTID,County,d_6_15_2020,d_6_16_2020,d_6_17_2020,d_6_18_2020,d_6_19_2020,d_6_20_2020,d_6_21_2020,d_6_22_2020,d_6_23_2020,d_6_24_2020,d_6_25_2020,d_6_26_2020,d_6_27_2020,d_6_28_2020,d_6_29_2020,d_6_30_2020,d_7_1_2020,d_7_2_2020,d_7_3_2020,d_7_4_2020,d_7_5_2020,d_7_6_2020,d07_07_2020,d07_13_2020,d07_14_2020,d07_15_2020,d07_16_2020,d07_17_2020,d07_18_2020,d07_19_2020,d07_20_2020,d07_21_2020,d07_22_2020,d07_23_2020,d07_24_2020,d07_25_2020,d07_26_2020,d07_27_2020,d07_28_2020,d07_29_2020,d07_30_2020,d07_31_2020,d08_01_2020,d08_02_2020,d08_03_2020,d08_04_2020,d08_05_2020,d08_06_2020,d08_07_2020,d08_08_2020,d08_09_2020,d08_10_2020,d08_11_2020,d08_12_2020,d08_13_2020,d08_14_2020,d08_15_2020,d08_16_2020,d08_17_2020,d07_08_2020,d07_09_2020,d07_10_2020,d07_11_2020,d07_12_2020,d08_18_2020,d08_19_2020,d08_20_2020,d08_21_2020,d08_22_2020,d08_23_2020,d08_24_2020,d08_25_2020,d08_26_2020,d08_27_2020,d08_28_2020,d08_29_2020,d08_30_2020,d08_31_2020,d09_01_2020,d09_02_2020,d09_03_2020,d09_04_2020,d09_05_2020,d09_06_2020,d09_07_2020,d09_08_2020,d09_09_2020,d09_10_2020,d09_11_2020,d09_12_2020,d09_13_2020,d09_14_2020,d09_15_2020,d09_16_2020,d09_17_2020,d09_18_2020,d09_19_2020,d09_20_2020,d09_21_2020,d09_22_2020
1,Allegany,30,937,101,36,409,296,67,58,667,349,375,136,79,30,65,54,45,82,98,86,65,13,85,433,79,509,284,525,136,243,67,75,522,135,151,370,111,164,144,125,647,387,285,71,375,48,523,146,763,77,502,340,235,255,499,289,641,753,618,87,244,100,145,227,463,283,218,883,652,349,198,111,241,202,315,146,352,209,69,88,293,508,267,66,158,131,123,94,231,524,559,130,195,441,163,245,920,408,154,75
2,Anne Arundel,673,556,1105,898,765,915,883,712,666,533,1017,700,953,469,971,640,756,1572,1342,1150,662,655,637,1565,1284,1713,1736,1994,1906,2197,1285,1770,1186,1337,2431,2359,1264,2339,1987,1468,1939,2437,2286,2879,2134,1899,1672,1749,1875,1977,3310,2522,1539,1737,1624,1303,3517,1943,2888,1201,1501,1029,1374,1635,1028,1467,1056,1673,2869,1301,1889,1156,1279,1362,2197,2419,1468,1653,1301,1180,1836,2570,2257,1247,2045,817,751,1637,1281,3076,1719,1784,1194,2746,1641,1807,2647,2795,1649,1193
3,Baltimore,1119,792,2133,1090,1008,1381,1022,992,897,969,1331,1070,872,986,1830,902,1581,1441,1818,1744,1230,1596,1374,1662,2632,3286,2055,2746,2496,4644,2045,2530,3303,2349,3188,6832,3707,3359,4860,2561,4299,3791,4709,3725,4488,2217,3579,2757,4524,3513,6301,5071,2485,2292,4066,3448,6201,4394,4611,1723,1989,1766,1836,3228,2290,1806,2634,4553,4288,3736,3172,1891,1640,3066,4711,3749,3709,3145,1726,1665,3630,4504,3423,2305,3181,1814,1134,2824,3347,4308,3266,3235,2471,3709,3902,3371,5017,4471,2367,1952
4,Baltimore City,1088,877,1949,1066,1050,1460,1205,1047,1081,1119,1359,1250,1458,1040,1628,1484,1460,1904,2086,1566,1056,1586,1223,1351,2706,2887,2113,3571,1932,4198,2277,2497,2242,1832,3191,4686,3962,3276,2461,2192,3118,3453,5118,3182,3314,1974,3444,2252,3893,3035,6358,5138,2138,2131,3292,2860,4912,3359,4610,1506,1671,1921,1950,2170,1631,1929,1979,3752,3911,3689,2433,1225,1617,2415,3409,2894,3402,3025,1626,1341,2698,3671,4311,2442,3735,1942,1368,2799,2907,4310,3036,2788,3063,3517,3917,3746,5172,3749,2573,2044
5,Calvert,96,53,88,79,77,164,77,89,61,107,79,54,78,38,150,63,87,136,95,62,65,89,59,114,164,220,196,189,148,232,136,197,145,165,844,258,210,285,231,142,164,214,238,253,245,162,165,200,336,154,416,296,182,168,236,190,272,269,411,142,133,106,115,123,148,83,183,337,166,226,216,131,93,179,316,164,181,200,104,73,192,252,218,170,188,131,91,138,187,292,190,201,140,275,207,145,333,294,151,120
6,Caroline,33,50,32,48,45,39,41,35,26,59,80,41,51,34,72,47,35,67,76,107,73,50,22,27,153,60,187,134,107,182,93,133,47,92,213,297,149,123,144,31,189,168,250,110,110,43,130,98,134,50,200,156,58,24,147,81,214,120,106,31,92,57,104,40,52,54,82,178,151,62,127,113,34,38,124,142,216,111,52,67,118,124,196,124,117,157,17,105,72,226,187,137,140,100,97,84,261,126,70,68
7,Carroll,194,148,598,158,193,248,232,212,398,251,249,144,168,123,392,199,332,217,299,351,243,445,265,355,383,379,381,641,251,587,362,429,640,322,607,570,413,621,485,392,673,991,861,478,639,508,976,312,661,576,1622,679,434,445,691,574,520,616,1019,285,242,278,346,351,560,230,596,1044,599,402,586,269,155,530,650,622,651,361,280,344,787,666,710,473,456,465,182,353,637,881,851,445,304,517,656,636,891,809,444,297
8,Cecil,67,63,280,64,42,160,71,93,27,67,96,54,138,31,113,80,63,118,160,137,361,171,80,133,124,228,128,310,222,290,162,116,137,212,459,615,357,190,249,129,161,414,498,252,280,332,342,178,297,161,312,408,102,221,258,157,376,192,533,104,81,94,181,408,115,163,160,380,454,111,211,114,106,253,236,180,194,230,236,98,318,256,241,146,148,59,51,175,292,321,217,134,251,229,207,199,464,230,156,152
9,Charles,179,175,505,205,146,219,270,168,173,211,232,209,127,167,261,169,178,249,243,165,178,107,124,138,301,315,354,472,231,254,238,400,555,372,659,744,287,577,635,358,601,510,571,432,451,382,569,449,511,435,823,582,346,607,594,590,886,542,734,314,318,268,209,284,368,310,368,492,457,376,424,270,258,392,448,451,411,402,286,236,488,573,382,265,443,242,211,319,387,658,450,422,289,502,455,338,626,509,380,294
10,Dorchester,65,43,275,37,65,72,96,39,33,20,56,111,157,86,56,56,15,132,130,74,194,24,27,88,95,26,211,187,162,183,64,40,172,108,328,237,289,72,142,22,215,250,288,121,58,29,66,237,234,183,206,174,107,33,340,83,213,206,149,30,53,182,126,439,68,26,169,194,159,54,140,98,61,175,159,223,217,114,70,28,177,192,206,106,216,57,27,54,123,218,260,164,211,151,214,102,297,168,116,51
